2023-11-14T00:00:00.000Z,795
2023-11-14T01:00:00.000Z,795
2023-11-14T02:00:00.000Z,795
2023-11-14T03:00:00.000Z,795
2023-11-14T04:00:00.000Z,792
2023-11-14T05:00:00.000Z,790
2023-11-14T06:00:00.000Z,787
2023-11-14T07:00:00.000Z,785
2023-11-14T08:00:00.000Z,785
2023-11-14T09:00:00.000Z,787
2023-11-14T10:00:00.000Z,790
2023-11-14T11:00:00.000Z,790
2023-11-14T12:00:00.000Z,786
2023-11-14T13:00:00.000Z,781
2023-11-14T14:00:00.000Z,780
2023-11-14T15:00:00.000Z,781
2023-11-14T16:00:00.000Z,781
2023-11-14T17:00:00.000Z,781
2023-11-14T18:00:00.000Z,782
2023-11-14T19:00:00.000Z,783
2023-11-14T20:00:00.000Z,785
2023-11-14T21:00:00.000Z,788
2023-11-14T22:00:00.000Z,792
2023-11-14T23:00:00.000Z,794
